Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer_ID,Country,revenue
568375,BANK CHARGES,Bank Charges,1,9/26/2011 17:01:00,0.001,13405,United Kingdom,0.001
496222,PADS,PADS TO MATCH ALL CUSHIONS,1,1/29/2010 13:53:00,0.001,13583,United Kingdom,0.001
533528,PADS,PADS TO MATCH ALL CUSHIONS,1,11/17/2010 15:08:00,0.001,15750,United Kingdom,0.001
501176,PADS,PADS TO MATCH ALL CUSHIONS,1,3/15/2010 11:00:00,0.001,14857,United Kingdom,0.001
522766,PADS,PADS TO MATCH ALL CUSHIONS,1,9/16/2010 13:58:00,0.001,15182,United Kingdom,0.001
531433,PADS,PADS TO MATCH ALL CUSHIONS,1,11/8/2010 11:54:00,0.001,13317,United Kingdom,0.001
499056,PADS,PADS TO MATCH ALL CUSHIONS,1,2/24/2010 13:46:00,0.001,13765,United Kingdom,0.001
499399,PADS,PADS TO MATCH ALL CUSHIONS,1,2/26/2010 13:26:00,0.001,14459,United Kingdom,0.001
561226,PADS,PADS TO MATCH ALL CUSHIONS,1,7/26/2011 10:13:00,0.001,15618,United Kingdom,0.001
498562,PADS,PADS TO MATCH ALL CUSHIONS,1,2/21/2010 12:03:00,0.001,15182,United Kingdom,0.001
568200,PADS,PADS TO MATCH ALL CUSHIONS,1,9/25/2011 14:58:00,0.001,16198,United Kingdom,0.001
496473,PADS,PADS TO MATCH ALL CUSHIONS,1,2/1/2010 15:38:00,0.001,17350,United Kingdom,0.001
504332,PADS,PADS TO MATCH ALL CUSHIONS,1,4/12/2010 16:30:00,0.001,12671,Germany,0.001
506303,PADS,PADS TO MATCH ALL CUSHIONS,1,4/29/2010 10:43:00,0.001,14249,United Kingdom,0.001
494914,PADS,PADS TO MATCH ALL CUSHIONS,1,1/19/2010 17:04:00,0.001,16705,United Kingdom,0.001
496643,PADS,PADS TO MATCH ALL CUSHIONS,1,2/3/2010 11:58:00,0.001,13408,United Kingdom,0.001
550193,PADS,PADS TO MATCH ALL CUSHIONS,1,4/15/2011 9:27:00,0.001,13952,United Kingdom,0.001
497935,PADS,PADS TO MATCH ALL CUSHIONS,1,2/15/2010 10:47:00,0.001,13408,United Kingdom,0.001
490279,35015,JACOBS LADDER SMALL,1,12/4/2009 12:37:00,0.06,16891,United Kingdom,0.06
510801,35015,JACOBS LADDER SMALL,1,6/3/2010 17:53:00,0.06,17290,United Kingdom,0.06
523773,35015,JACOBS LADDER SMALL,1,9/24/2010 11:11:00,0.06,17811,United Kingdom,0.06
578757,16216,LETTER SHAPE PENCIL SHARPENER,1,11/25/2011 11:41:00,0.06,12748,United Kingdom,0.06
561894,M,Manual,1,7/31/2011 15:00:00,0.08,14456,United Kingdom,0.08
508629,M,Manual,1,5/17/2010 14:21:00,0.1,13857,United Kingdom,0.1
558198,17038,PORCELAIN BUDAH INCENSE HOLDER,1,6/27/2011 12:49:00,0.1,14104,United Kingdom,0.1
578479,17038,PORCELAIN BUDAH INCENSE HOLDER,1,11/24/2011 12:48:00,0.1,15858,United Kingdom,0.1
559509,17038,PORCELAIN BUDAH INCENSE HOLDER,1,7/8/2011 15:25:00,0.1,15920,United Kingdom,0.1
565426,21403,BLUE EGG  SPOON,1,9/4/2011 12:41:00,0.12,12851,United Kingdom,0.12
550651,21401,BLUE PUDDING SPOON,1,4/19/2011 16:52:00,0.12,15436,United Kingdom,0.12
496488,20668,DISCO BALL CHRISTMAS DECORATION,1,2/1/2010 17:16:00,0.12,14606,United Kingdom,0.12
565846,20668,DISCO BALL CHRISTMAS DECORATION,1,9/7/2011 12:41:00,0.12,14606,United Kingdom,0.12
500933,20668,DISCO BALL CHRISTMAS DECORATION,1,3/11/2010 11:45:00,0.12,14606,United Kingdom,0.12
550298,20668,DISCO BALL CHRISTMAS DECORATION,1,4/15/2011 16:11:00,0.12,17346,United Kingdom,0.12
494674,20668,DISCO BALL CHRISTMAS DECORATION,1,1/17/2010 16:01:00,0.12,14606,United Kingdom,0.12
574682,20668,DISCO BALL CHRISTMAS DECORATION,1,11/6/2011 12:44:00,0.12,14963,United Kingdom,0.12
575943,20668,DISCO BALL CHRISTMAS DECORATION,1,11/13/2011 11:44:00,0.12,17920,United Kingdom,0.12
565426,85204,HANGING WOOD AND FELT FLOWER,1,9/4/2011 12:41:00,0.12,12851,United Kingdom,0.12
561036,85204,HANGING WOOD AND FELT FLOWER,1,7/24/2011 11:54:00,0.12,13137,United Kingdom,0.12
564191,85204,HANGING WOOD AND FELT FLOWER,1,8/23/2011 16:16:00,0.12,17315,United Kingdom,0.12
575856,16219,HOUSE SHAPE PENCIL SHARPENER,2,11/11/2011 12:28:00,0.06,16386,United Kingdom,0.12
570983,47518F,ICON PLACEMAT POP ART ELVIS,1,10/13/2011 11:57:00,0.12,14963,United Kingdom,0.12
572291,47518F,ICON PLACEMAT POP ART ELVIS,1,10/23/2011 12:46:00,0.12,16931,United Kingdom,0.12
516843,16033,MINI HIGHLIGHTER PENS,1,7/23/2010 11:32:00,0.12,15867,United Kingdom,0.12
559525,21402,RED  EGG  SPOON,1,7/10/2011 10:30:00,0.12,16923,United Kingdom,0.12
574831,16008,SMALL FOLDING SCISSOR(POINTED EDGE),1,11/7/2011 11:26:00,0.12,15522,United Kingdom,0.12
560359,16008,SMALL FOLDING SCISSOR(POINTED EDGE),1,7/18/2011 11:47:00,0.12,14159,United Kingdom,0.12
571909,16048,TEATIME ROUND PENCIL SHARPENER ,1,10/19/2011 15:08:00,0.12,15006,United Kingdom,0.12
572103,16048,TEATIME ROUND PENCIL SHARPENER ,1,10/20/2011 15:57:00,0.12,17571,United Kingdom,0.12
570238,16048,TEATIME ROUND PENCIL SHARPENER ,1,10/9/2011 15:01:00,0.12,16332,United Kingdom,0.12
577297,16048,TEATIME ROUND PENCIL SHARPENER ,1,11/18/2011 12:48:00,0.12,14593,United Kingdom,0.12
571909,16048,TEATIME ROUND PENCIL SHARPENER ,1,10/19/2011 15:08:00,0.12,15006,United Kingdom,0.12
581310,22422,TOOTHPASTE TUBE PEN,1,12/8/2011 11:43:00,0.12,16442,United Kingdom,0.12
581425,22422,TOOTHPASTE TUBE PEN,1,12/8/2011 15:31:00,0.12,14796,United Kingdom,0.12
580884,22422,TOOTHPASTE TUBE PEN,1,12/6/2011 12:21:00,0.12,15907,United Kingdom,0.12
548711,47013A,WINE BOTTLE DRESSING LT.BLUE,1,4/3/2011 14:24:00,0.12,18116,United Kingdom,0.12
520401,15034,PAPER POCKET TRAVELING FAN ,1,8/25/2010 16:58:00,0.14,16448,United Kingdom,0.14
560868,15034,PAPER POCKET TRAVELING FAN ,1,7/21/2011 14:14:00,0.14,14866,United Kingdom,0.14
